id,mechanism_id,phenotype_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated
MPE-00001,MEC-0003,PHE-0001,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00002,MEC-0004,PHE-0001,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00003,MEC-0010,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00004,MEC-0011,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00005,MEC-0014,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00006,MEC-0001,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00007,MEC-0002,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00008,MEC-0005,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00009,MEC-0017,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00010,MEC-0016,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00011,MEC-0008,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00012,MEC-0019,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00013,MEC-0015,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00014,MEC-0009,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00015,MEC-0012,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00016,MEC-0006,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00017,MEC-0006,PHE-0006,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00018,MEC-0012,PHE-0006,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00019,MEC-0007,PHE-0007,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00020,MEC-0020,PHE-0007,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:14:42+00:00,2026-04-27T22:00:09+00:00
MPE-00021,MEC-0021,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00022,MEC-0022,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00023,MEC-0022,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00024,MEC-0023,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00025,MEC-0024,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00026,MEC-0025,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00027,MEC-0026,PHE-0004,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00028,MEC-0026,PHE-0007,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:33:28+00:00,2026-04-27T22:00:09+00:00
MPE-00029,MEC-0027,PHE-0003,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
MPE-00030,MEC-0028,PHE-0006,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
MPE-00031,MEC-0028,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
MPE-00032,MEC-0029,PHE-0001,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
MPE-00033,MEC-0029,PHE-0007,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
MPE-00034,MEC-0030,PHE-0002,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
MPE-00035,MEC-0030,PHE-0005,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
MPE-00036,MEC-0031,PHE-0006,implicated_in,supporting,,,0.0000,,active,2026-04-27T21:44:33+00:00,2026-04-27T22:00:09+00:00
